frase,situacao
Desde cedo estou com dor torácica forte e sensação de desmaio.,alto risco
Tenho aperto no peito e dificuldade para respirar quando me deito.,alto risco
"Estou com dor nas costas ao final do dia, mas sem falta de ar.",baixo risco
Tenho palpitações frequentes e sensação de descompasso no coração desde manhã.,alto risco
Tenho dor no centro do peito e enjoo desde o início da manhã.,alto risco
"Sinto falta de ar, tontura e dor no peito ao realizar tarefas comuns.",alto risco
Sinto um incômodo muscular no peito após exercício de braço na academia.,baixo risco
Tenho uma queimação no peito com falta de ar e mal-estar desde ontem.,alto risco
Sinto desconforto abdominal e gases depois de algumas refeições pesadas.,baixo risco
"Percebo cansaço físico leve após rotina intensa, mas sem piora ao esforço.",baixo risco
Tenho um incômodo no tórax que parece muscular e melhora com alongamento.,baixo risco
Estou com palpitações fortes e desconforto no peito durante o repouso.,alto risco
"Sinto desconforto no tórax, batimentos acelerados e sensação de desmaio iminente.",alto risco
Estou com fadiga leve associada a noites mal dormidas nesta semana.,baixo risco
Tenho dor no peito e formigamento no braço esquerdo desde a madrugada.,alto risco
Sinto dor de estômago e queimação após tomar café em excesso.,baixo risco
"Sinto um incômodo leve no ombro após carregar peso, mas melhora com repouso.",baixo risco
Estou com fadiga leve associada ao estresse e ao excesso de trabalho.,baixo risco
Percebo uma fisgada no ombro quando levanto o braço acima da cabeça.,baixo risco
"Sinto fadiga leve quando passo o dia inteiro em pé, mas melhora ao sentar.",baixo risco
Sinto dor no peito e mal-estar toda vez que tento carregar peso.,alto risco
"Tenho aperto no peito, sudorese e sensação de mal-estar desde cedo.",alto risco
Estou com falta de ar intensa e dor torácica desde que acordei.,alto risco
"Sinto uma leve pontada no lado do peito ao respirar fundo, mas passa rápido.",baixo risco
Percebo respiração curta e dor no peito até quando fico parado.,alto risco
Percebo um cansaço ocasional depois de dias com poucas horas de sono.,baixo risco
"Desde esta manhã, tenho dor no peito que não melhora nem em repouso.",alto risco
Estou com um desconforto no peito que parece vir da costela ao me mexer.,baixo risco
Sinto batimentos acelerados e pressão no peito ao subir poucos degraus.,alto risco
"Percebo um cansaço leve no fim do dia, principalmente quando durmo pouco.",baixo risco
"Sinto fadiga leve no fim da tarde, mas sem tontura ou falta de ar.",baixo risco
Tenho dor forte no peito depois de caminhar poucas quadras.,alto risco
Estou com dor torácica e mal-estar geral desde ontem à tarde.,alto risco
Percebo rigidez no pescoço e dor nos ombros ao acordar.,baixo risco
Estou com falta de ar ao subir escadas e cansaço intenso há uma semana.,alto risco
"Tenho suor frio, aperto no tórax e fadiga fora do normal.",alto risco
Sinto uma dor opressiva no peito e o braço esquerdo fica pesado.,alto risco
Percebo um aperto no tórax quando faço esforço e preciso parar para respirar.,alto risco
Tenho dor no peito com sensação de desmaio e visão escurecendo.,alto risco
Percebo dor na lombar e rigidez depois de longos períodos sentado.,baixo risco
Percebo desconforto no peito somente quando pressiono a região com a mão.,baixo risco
Percebo uma indisposição leve após refeições muito grandes no jantar.,baixo risco
Estou com dor leve na região do tórax após espirros e tosse frequente.,baixo risco
"Tenho dor nas articulações ao acordar, mas melhora conforme me movimento.",baixo risco
Tenho dores leves e esporádicas no ombro depois de carregar sacolas.,baixo risco
Tenho um leve desconforto no lado esquerdo do peito quando me espreguiço.,baixo risco
"Percebo sensação de peso no corpo por cansaço, mas sem sintomas intensos.",baixo risco
"Tenho respiração curta, fadiga intensa e dor no peito ao caminhar.",alto risco
Estou com uma dor muscular nas costas desde ontem depois de limpar a casa.,baixo risco
Percebo dor muscular no braço por causa de treino mais intenso na academia.,baixo risco
Tenho dor no ombro e nas costas por causa de má postura ao trabalhar.,baixo risco
Percebo batimentos muito acelerados e sensação de fraqueza nas pernas.,alto risco
Estou com dor no pescoço e na nuca por causa da postura no trabalho.,baixo risco
Percebo uma opressão no peito e falta de ar ao fazer atividades leves.,alto risco
Tenho incômodo muscular na região torácica após fazer esforço doméstico.,baixo risco
